country	name	name_normalized	caps	goals	most_recent_year_played	position	year_born	club	club_nationality	played_in_latest
Uganda	Murushid Juuko	murushidjuuko	43	1	2021	DF	1994	Vipers SC	UGA	FALSE
Uganda	Moses Waiswa	moseswaiswa	23	1	2022	MF	1997	Kampala Capital City Authority FC	UGA	FALSE
Uganda	Bright Anukani	brightanukani	14	3	2022	MF	2000	Vipers SC	UGA	FALSE
Uganda	George Kasonko	georgekasonko	5	0	2022	MF	1998	Bul FC	UGA	FALSE
Uganda	Ashraf Mugume	ashrafmugume	4	0	2022	MF	1998	Kampala Capital City Authority FC	UGA	FALSE
Uganda	Chris Akena	chrisakena	2	0	2022	MF	2002	Shabab Al Ahli Club	UAE	FALSE
Uganda	Saidi Kyeyune	saidikyeyune	20	3	2022	MF	1993	Uganda Revenue Authority SC	UGA	FALSE
Uganda	Shafiq Kagimu	shafiqkagimu	19	0	2022	MF	1998	Uganda Revenue Authority SC	UGA	FALSE
Uganda	Mahad Kakooza	mahadkakooza	0	0	2022	MF	1998	Express FC	UGA	FALSE
Uganda	Julius Poloto	juliuspoloto	1	0	2021	MF	1999	Kampala Capital City Authority FC	UGA	FALSE
Uganda	Taddeo Lwanga	taddeolwanga	22	1	2021	MF	1994	AS Arta/Solar7	DJI	FALSE
Uganda	Yunus Sentamu	yunussentamu	31	5	2022	FW	1994	Vipers SC	UGA	FALSE
Uganda	Patrick Kaddu	patrickkaddu	21	9	2022	FW	1995	Kampala Capital City Authority FC	UGA	FALSE
Uganda	Steven Mukwala	stevenmukwala	11	0	2022	FW	1999	Asante Kotoko SC	GHA	FALSE
Uganda	Ibrahim Orit	ibrahimorit	9	2	2022	FW	1998	Vipers SC	UGA	FALSE
Uganda	Travis Mutyaba	travismutyaba	3	0	2022	FW	2005	SC Villa	UGA	FALSE
Uganda	Alfred Leku	alfredleku	1	0	2022	FW	1997	Arua Hill Sports Club	UGA	FALSE
Uganda	Cromwell Rwothomio	cromwellrwothomio	1	0	2022	FW	2000	Uganda Revenue Authority SC	UGA	FALSE
Uganda	Musa Esenu	musaesenu	0	0	2022	FW		Bul FC	UGA	FALSE
Uganda	Amos Kirya	amoskirya	0	0	2022	FW		Gaddafi FC	UGA	FALSE
Uganda	Titus Sematimba	titussematimba	0	0	2022	FW		Wakiso Giants FC	UGA	FALSE
Uganda	Derrick Nsibambi	derricknsibambi	25	7	2021	FW	1994	Uganda Revenue Authority SC	UGA	FALSE
Zambia	Toaster Nsabata	toasternsabata	34	0	2022	GK	1993	Sekhukhune United F.C.	RSA	TRUE
Zambia	Charles Kalumba	charleskalumba	4	0	2022	GK	1996	Red Arrows F.C.	ZAM	TRUE
Zambia	Lawrence Mulenga	lawrencemulenga	0	0	2022	GK	1998	Power Dynamos F.C.	ZAM	TRUE
Zambia	Benedict Chepeshi	benedictchepeshi	33	0	2022	DF	1996	Red Arrows F.C.	ZAM	TRUE
Zambia	Dominic Chanda	dominicchanda	23	1	2022	DF	1996	Kabwe Warriors F.C.	ZAM	TRUE
Zambia	Tandi Mwape	tandimwape	20	1	2022	DF	1996	TP Mazembe	COD	TRUE
Zambia	Shemmy Mayembe	shemmymayembe	11	0	2022	DF	1997	ZESCO United F.C.	ZAM	TRUE
Zambia	Luka Chamanga	lukachamanga	5	0	2022	DF	1991	Power Dynamos F.C.	ZAM	TRUE
Zambia	Allan Kapila	allankapila	5	0	2022	DF	1995	Red Arrows F.C.	ZAM	TRUE
Zambia	Frankie Musonda	frankiemusonda	4	1	2022	DF	1997	Ayr United F.C.	SCO	TRUE
Zambia	Miguel Chaiwa	miguelchaiwa	1	0	2022	DF	2004	BSC Young Boys	SUI	TRUE
Zambia	Kelvin Kampamba	kelvinkampamba	37	6	2022	MF	1996	ZESCO United F.C.	ZAM	TRUE
Zambia	Rodrick Kabwe	rodrickkabwe	34	0	2022	MF	1992	Sekhukhune United F.C.	RSA	TRUE
Zambia	Clatous Chama	clatouschama	30	5	2022	MF	1991	Simba S.C.	TAN	TRUE
Zambia	Kings Kangwa	kingskangwa	15	3	2022	MF	1999	Red Star Belgrade	SER	TRUE
Zambia	Emmanuel Banda	emmanuelbanda	14	0	2022	MF	1997	Djurgårdens IF Fotboll	SWE	TRUE
Zambia	Edward Chilufya	edwardchilufya	6	0	2022	MF	1999	FC Midtjylland	DEN	TRUE
Zambia	Patson Daka	patsondaka	31	9	2022	FW	1998	Leicester City F.C.	ENG	TRUE
Zambia	Evans Kangwa	evanskangwa	31	4	2022	FW	1992	FC Arsenal Tula	RUS	TRUE
Zambia	Fashion Sakala	fashionsakala	19	6	2022	FW	1997	Rangers F.C.	SCO	TRUE
Zambia	Ricky Banda	rickybanda	5	1	2022	FW	2001	Red Arrows F.C.	ZAM	TRUE
Zambia	Cyril Chibwe	cyrilchibwe	12	0	2022	GK	1993	ZESCO United F.C.	ZAM	FALSE
Zambia	Kelvin Malunga	kelvinmalunga	0	0	2022	GK	1994	Nkana F.C.	ZAM	FALSE
Zambia	Prosper Chiluya	prosperchiluya	12	0	2022	DF	1998	Red Arrows F.C.	ZAM	FALSE
Zambia	Aimé Mabika	aimemabika	1	0	2022	DF	1998	Inter Miami CF	USA	FALSE
Zambia	Donashano Malama	donashanomalama	38	1	2022	DF	1991	ZESCO United F.C.	ZAM	FALSE
Zambia	Simon Silwimba	simonsilwimba	24	1	2022	DF	1991	ZESCO United F.C.	ZAM	FALSE
Zambia	Solomon Sakala	solomonsakala	12	0	2022	DF	1997	ZESCO United F.C.	ZAM	FALSE
Zambia	Lubambo Musonda	lubambomusonda	41	2	2022	MF	1995	AC Horsens	DEN	FALSE
Zambia	Spencer Sautu	spencersautu	34	4	2022	MF	1994	Power Dynamos F.C.	ZAM	FALSE
Zambia	Prince Mumba	princemumba	11	1	2022	MF	2001	NK Istra 1961	CRO	FALSE
Zambia	Larry Bwalya	larrybwalya	7	0	2022	MF	1995	Simba S.C.	TAN	FALSE
Zambia	Lameck Banda	lameckbanda	4	0	2022	MF	2001	U.S. Lecce	ITA	FALSE
Zambia	Enock Mwepu	enockmwepu	24	6	2022	MF	1998	'Retired''		FALSE
Zambia	Harrison Chisala	harrisonchisala	2	0	2022	MF	1997	Nkana F.C.	ZAM	FALSE
Zambia	Chanda Mukuka	chandamukuka	0	0	2022	MF	2000	ZESCO United F.C.	ZAM	FALSE
Zambia	Gamphani Lungu	gamphanilungu	15	0	2022	FW	1998	SuperSport United F.C.	RSA	FALSE
Zambia	Alex Ngonga	alexngonga	20	1	2022	FW	1992	Nkana F.C.	ZAM	FALSE
Zambia	Albert Kangwanda	albertkangwanda	7	2	2022	FW	1999	Kafue Celtic F.C.	ZAM	FALSE
Zambia	Patrick Gondwe	patrickgondwe	7	0	2022	FW	2002	Nkana F.C.	ZAM	FALSE
Zambia	Derrick Bulaya	derrickbulaya	1	0	2022	FW	2003	Green Eagles F.C.	ZAM	FALSE
Madagascar	Mamisoa Razafindrakoto	mamisoarazafindrakoto	63	0	2011					FALSE
Madagascar	Jimmy Radafison	jimmyradafison	49	0	2011					FALSE
Madagascar	Faneva Imà Andriatsima	fanevaimaandriatsima	47	14	2019					FALSE
Madagascar	Eric-Julien Rakotondrabe	ericjulienrakotondrabe	47	0	2011					FALSE
Madagascar	Harry Randrianaivo	harryrandrianaivo	21	11	2003					FALSE
Madagascar	Ruphin Menakely	ruphinmenakely	25	10	2003					FALSE
Madagascar	Rado Rasoanaivo	radorasoanaivo	40	8	2003					FALSE
Madagascar	Praxis Rabemananjara	praxisrabemananjara	16	5	2008					FALSE
Gabon	Didier Ovono	didierovono	112	0	2019					FALSE
Gabon	François Amégasse	francoisamegasse	110	9	2000					FALSE
Gabon	Etienne Kassa-Ngoma	etiennekassangoma	92	7	1997					FALSE
Gabon	Cédric Moubamba	cedricmoubamba	86	2	2012					FALSE
Gabon	Valéry Ondo	valeryondo	80	12	2001					FALSE
Gabon	Nzué Nguema	nzuenguema	77	23	2005					FALSE
Gabon	Germain Mendome	germainmendome	72	0	2000					FALSE
Gabon	Guy Roger Nzamba	guyrogernzamba	47	21	2000					FALSE
Gabon	Michel Minko	michelminko	41	14	1990					FALSE
Gabon	Brice Mackaya	bricemackaya	43	13	1999					FALSE
Gabon	Daniel Cousin	danielcousin	60	13	2014					FALSE
Gabon	Bruno Zita Mbanangoyé	brunozitambanangoye	68	11	2012					FALSE
Gabon	Etienne Bito'o	etiennebitoo	18	9	2015					FALSE
Zambia	David Chabala	davidchabala	115	0	1993					FALSE
Zambia	Godfrey Chitalu	godfreychitalu	111	79	1980					FALSE
Zambia	Joseph Musonda	josephmusonda	108	0	2014					FALSE
Zambia	Christopher Katongo	christopherkatongo	103	23	2016					FALSE
Zambia	Alex Chola	alexchola	102	43	1985					FALSE
Zambia	Elijah Tana	elijahtana	101	4	2009					FALSE
Zambia	Derby Makinka	derbymakinka	98	10	1993					FALSE
Zambia	Kalusha Bwalya	kalushabwalya	87	39	2004					FALSE
Zambia	Bernard Chanda	bernardchanda	68	29	1980					FALSE
Zambia	Collins Mbesuma	collinsmbesuma	65	22	2017					FALSE
Zambia	Dennis Lota	dennislota	78	21	2002					FALSE
Zambia	Kenneth Malitoli	kennethmalitoli	80	19	1999					FALSE
Zambia	James Chamanga	jameschamanga	63	17	2015					FALSE
Benin	Stéphane Sessègnon	stephanesessegnon	83	24	2019					FALSE
Benin	Damien Chrysostome	damienchrysostome	58	0	2011					FALSE
Benin	Jocelyn Ahouéya	jocelynahoueya	55	3	2013					FALSE
Benin	Razak Omotoyossi	razakomotoyossi	55	21	2016					FALSE
Benin	Romuald Boco	romualdboco	52	1	2013					FALSE
Benin	Séïdath Tchomogo	seidathtchomogo	51	4	2014					FALSE
Benin	Anicet Adjamossi	anicetadjamossi	48	5	2013					FALSE
Benin	Oumar Tchomogo	oumartchomogo	34	15	2008					FALSE
Benin	Moussa Latoundji	moussalatoundji	21	6	2004					FALSE
Benin	Mouritala Ogunbiyi	mouritalaogunbiyi	47	6	2019					FALSE
Benin	Léon Bessan	leonbessan	20	5	2007					FALSE
Uganda	Godfrey Walusimbi	godfreywalusimbi	105	3	2019					FALSE
Uganda	Simeon Masaba	simeonmasaba	88	6	2013					FALSE
Uganda	Denis Onyango	denisonyango	82	0	2021					FALSE
Uganda	Hassan Wasswa	hassanwasswa	81	0	2019					FALSE
Uganda	Andrew Mwesigwa	andrewmwesigwa	75	7	2014					FALSE
Uganda	Geoffrey Massa	geoffreymassa	72	22	2017					FALSE
Uganda	Hassan Mubiru	hassanmubiru	63	18	2007					FALSE
Uganda	David Obua	davidobua	58	14	2011					FALSE
Uganda	Geoffrey Sserunkuma	geoffreysserunkuma	54	14	2017					FALSE
Uganda	Brian Umony	brianumony	36	12	2015					FALSE
Uganda	Philip Obwiny	philipobwiny	47	9	2003					FALSE
Uganda	Caesar Okhuti	caesarokhuti	31	8	2016					FALSE
Uganda	George Ssemogerere	georgessemogerere	31	8	2001					FALSE
Uganda	Robert Ssentongo	robertssentongo	45	8	2016					FALSE
Uganda	Dan Wagaluka	danwagaluka	62	8	2012					FALSE
Guinea	Pascal Feindouno	pascalfeindouno	85	30	2012					FALSE
Guinea	Ousmane N'Gom Camara	ousmanengomcamara	73	2	2005					FALSE
Guinea	Kémoko Camara	kemokocamara	71	0	2013					FALSE
Guinea	Morlaye Soumah	morlayesoumah	69	2	2004					FALSE
Guinea	Chérif Souleymane	cherifsouleymane	68	20	1977					FALSE
Guinea	Dianbobo Baldé	dianbobobalde	67	2	2012					FALSE
Guinea	Naby Yattara	nabyyattara	61	0	2019					FALSE
Guinea	Fodé Mansaré	fodemansare	60	8	2010					FALSE
Guinea	Titi Camara	titicamara	57	27	2004					FALSE
Guinea	Ibrahima Kandia Diallo	ibrahimakandiadiallo	56	33	1973					FALSE
Guinea	Mamadou Aliou Keïta	mamadoualioukeita	31	22	1981					FALSE
Guinea	Souleymane Youla	souleymaneyoula	40	19	2009					FALSE
Guinea	Ismaël Bangoura	ismaelbangoura	52	13	2015					FALSE
Guinea	Petit Sory	petitsory	36	12	1977					FALSE
Cabo Verde	Babanco	babanco	62	5	2019					FALSE
Cabo Verde	Héldon	heldon	52	15	2019					FALSE
Cabo Verde	Fernando Varela	fernandovarela	52	3	2019					FALSE
Cabo Verde	Lito	lito	47	7	2012					FALSE
Cabo Verde	Nando	nando	42	0	2013					FALSE
Cabo Verde	Caló	calo	27	11	2007					FALSE
Cabo Verde	Toni	toni	11	5	2002					FALSE
Cabo Verde	Cafú	cafu	15	5	2007					FALSE
Cabo Verde	Dady	dady	23	5	2012					FALSE
Cabo Verde	Odaïr Fortes	odairfortes	29	5	2016					FALSE
South Africa	Aaron Mokoena	aaronmokoena	107	1	2010					FALSE
South Africa	Siphiwe Tshabalala	siphiwetshabalala	89	12	2017					FALSE
South Africa	Siyabonga Nomvethe	siyabonganomvethe	82	16	2012					FALSE
South Africa	Benni McCarthy	bennimccarthy	81	31	2012					FALSE
South Africa	Shaun Bartlett	shaunbartlett	74	28	2005					FALSE
South Africa	John Moshoeu	johnmoshoeu	73	8	2004					FALSE
South Africa	Delron Buckley	delronbuckley	72	10	2008					FALSE
South Africa	Bernard Parker	bernardparker	72	23	2015					FALSE
South Africa	Lucas Radebe	lucasradebe	70	2	2003					FALSE
South Africa	Katlego Mphela	katlegomphela	53	23	2013					FALSE
South Africa	Phil Masinga	philmasinga	58	19	2001					FALSE
South Africa	Sibusiso Zuma	sibusisozuma	67	13	2008					FALSE
South Africa	Tokelo Rantie	tokelorantie	41	12	2017					FALSE
Mali	Seydou Keita	seydoukeita	102	25	2015					FALSE
Mali	Mahamadou Sidibé	mahamadousidibe	97	0	2010					FALSE
Mali	Bassala Touré	bassalatoure	95	17	2008					FALSE
Mali	Adama Tamboura	adamatamboura	89	0	2015					FALSE
Mali	Adama Coulibaly	adamacoulibaly	85	1	2014					FALSE
Mali	Soumaila Coulibaly	soumailacoulibaly	83	14	2009					FALSE
Mali	Mahamadou Diarra	mahamadoudiarra	73	7	2012					FALSE
Mali	Modibo Maïga	modibomaiga	58	12	2016					FALSE
Mali	Ousmane Farota	ousmanefarota	57	0	1997					FALSE
Mali	Fousseni Diawara	foussenidiawara	56	0	2015					FALSE
Mali	Frédéric Kanouté	frederickanoute	39	23	2010					FALSE
Mali	Cheick Diabaté	cheickdiabate	38	15	2016					FALSE
Mali	Yaya Dissa	yayadissa	42	14	2001					FALSE
Mali	Salif Keïta	salifkeita	26	11	1972					FALSE
Mali	Mahamadou Dissa	mahamadoudissa	35	10	2008					FALSE
Mali	Mamadou Diallo	mamadoudiallo	45	10	2010					FALSE
Ghana	Asamoah Gyan	asamoahgyan	109	51	2019					FALSE
Ghana	Richard Kingson	richardkingson	93	1	2011					FALSE
Ghana	John Paintsil	johnpaintsil	91	0	2013					FALSE
Ghana	Harrison Afful	harrisonafful	86	0	2018					FALSE
Ghana	Sulley Muntari	sulleymuntari	84	20	2014					FALSE
Ghana	John Mensah	johnmensah	81	3	2012					FALSE
Ghana	Emmanuel Agyemang-Badu	emmanuelagyemangbadu	78	11	2017					FALSE
Ghana	Kwadwo Asamoah	kwadwoasamoah	74	4	2019					FALSE
Ghana	Edward Acquah	edwardacquah	41	45	1964					FALSE
Ghana	Kwasi Owusu	kwasiowusu	45	36	1976					FALSE
Ghana	Tony Yeboah	tonyyeboah	59	29	1997					FALSE
Ghana	Karim Abdul Razak	karimabdulrazak	62	25	1988					FALSE
Ghana	Wilberforce Mfum	wilberforcemfum	26	20	1968					FALSE
Ghana	Osei Kofi	oseikofi	25	19	1973					FALSE
Ghana	Abedi Pele	abedipele	73	19	1998					FALSE
Cameroon	Rigobert Song	rigobertsong	137	5	2010					FALSE
Cameroon	Samuel Eto'o	samueletoo	118	56	2014					FALSE
Cameroon	Geremi Njitap	gereminjitap	118	13	2010					FALSE
Cameroon	Emmanuel Kundé	emmanuelkunde	102	17	1992					FALSE
Cameroon	Jacques Songo'o	jacquessongoo	80	0	2002					FALSE
Cameroon	Roger Milla	rogermilla	77	43	1994					FALSE
Cameroon	François Omam-Biyik	francoisomambiyik	73	26	1998					FALSE
Cameroon	Carlos Kameni	carloskameni	73	0	2019					FALSE
Cameroon	Patrick M'Boma	patrickmboma	55	33	2004					FALSE
Cameroon	Alphonse Tchami	alphonsetchami	57	21	1998					FALSE
Cameroon	Pierre Webó	pierrewebo	59	19	2014					FALSE
Cameroon	André Kana-Biyik	andrekanabiyik	59	15	1994					FALSE
Egypt	Hossam Hassan	hossamhassan	176	68	2006					FALSE
Egypt	Essam El Hadary	essamelhadary	159	0	2018					FALSE
Egypt	Ibrahim Hassan	ibrahimhassan	131	14	2002					FALSE
Egypt	Hany Ramzy	hanyramzy	123	3	2003					FALSE
Egypt	Wael Gomaa	waelgomaa	114	1	2013					FALSE
Egypt	Ahmed El Kass	ahmedelkass	112	25	1997					FALSE
Egypt	Abdel Zaher El Sakka	abdelzaherelsakka	112	4	2010					FALSE
Egypt	Rabie Yassin	rabieyassin	109	1	1991					FALSE
Egypt	Hassan El Shazly	hassanelshazly	62	42	1975					FALSE
Egypt	Mohamed Abou Trika	mohamedaboutrika	100	38	2013					FALSE
Egypt	Amr Zaki	amrzaki	63	30	2013					FALSE
Egypt	Emad Moteab	emadmoteab	70	28	2015					FALSE
Egypt	Mahmoud El Khatib	mahmoudelkhatib	54	24	1986					FALSE
Egypt	Gamal Abdel Hamid	gamalabdelhamid	79	24	1993					FALSE
Burkina Faso	Jonathan Pitroipa	jonathanpitroipa	84	19	2019					FALSE
Burkina Faso	Moumouni Dagano	moumounidagano	83	34	2013					FALSE
Burkina Faso	Bakary Koné	bakarykone	83	0	2019					FALSE
Burkina Faso	Aristide Bancé	aristidebance	79	24	2019					FALSE
Burkina Faso	Saïdou Panandétiguiri	saidoupanandetiguiri	66	2	2013					FALSE
Burkina Faso	Mamadou Zongo	mamadouzongo	30	13	2013					FALSE
Burkina Faso	Amadou Touré	amadoutoure	30	10	2006					FALSE
Burkina Faso	Oumar Barro	oumarbarro	48	10	2003					FALSE
Burkina Faso	Alassane Ouédraogo	alassaneouedraogo	33	7	2007					FALSE
Nigeria	Vincent Enyeama	vincentenyeama	101	0	2015					FALSE
Nigeria	Joseph Yobo	josephyobo	101	7	2014					FALSE
Nigeria	Mikel John Obi	mikeljohnobi	91	6	2019					FALSE
Nigeria	Nwankwo Kanu	nwankwokanu	86	13	2011					FALSE
Nigeria	Mudashiru Lawal	mudashirulawal	86	11	1985					FALSE
Nigeria	Jay-Jay Okocha	jayjayokocha	73	14	2006					FALSE
Nigeria	Stephen Keshi	stephenkeshi	68	9	1998					FALSE
Nigeria	Peter Rufai	peterrufai	66	1	1998					FALSE
Nigeria	Peter Odemwingie	peterodemwingie	65	11	2014					FALSE
Nigeria	Rashidi Yekini	rashidiyekini	62	37	1998					FALSE
Nigeria	Segun Odegbami	segunodegbami	47	22	1981					FALSE
Nigeria	Yakubu Aiyegbeni	yakubuaiyegbeni	58	21	2012					FALSE
Nigeria	Ikechukwu Uche	ikechukwuuche	46	19	2014					FALSE
Nigeria	Obafemi Martins	obafemimartins	42	18	2015					FALSE
Nigeria	Samson Siasia	samsonsiasia	49	17	1998					FALSE
Nigeria	Asuquo Ekpe	asuquoekpe	28	14	1966					FALSE
Nigeria	Julius Aghahowa	juliusaghahowa	32	14	2007					FALSE
Ivory Coast	Didier Zokora	didierzokora	123	1	2014					FALSE
Ivory Coast	Kolo Touré	kolotoure	120	7	2015					FALSE
Ivory Coast	Didier Drogba	didierdrogba	105	65	2014					FALSE
Ivory Coast	Yaya Touré	yayatoure	102	19	2015					FALSE
Ivory Coast	Siaka Tiéné	siakatiene	100	2	2015					FALSE
Ivory Coast	Salomon Kalou	salomonkalou	96	27	2017					FALSE
Ivory Coast	Abdoulaye Traoré	abdoulayetraore	90	49	1996					FALSE
Ivory Coast	Arthur Boka	arthurboka	88	1	2015					FALSE
Ivory Coast	Djohan Tiéhi	djohantiehi	50	28	1999					FALSE
Ivory Coast	Ibrahima Bakayoko	ibrahimabakayoko	39	22	2002					FALSE
Ivory Coast	Laurent Pokou	laurentpokou	30	21	1980					FALSE
Ivory Coast	Aruna Dindane	arunadindane	62	18	2010					FALSE
Ivory Coast	Wilfried Bony	wilfriedbony	58	17	2019					FALSE
Algeria	Lakhdar Belloumi	lakhdarbelloumi	100	28	1989					FALSE
Algeria	Rabah Madjer	rabahmadjer	86	28	1992					FALSE
Algeria	Billel Dziri	billeldziri	81	9	2005					FALSE
Algeria	Abdelhafid Tasfaout	abdelhafidtasfaout	80	36	2002					FALSE
Algeria	Djamel Menad	djamelmenad	79	25	1995					FALSE
Algeria	Mahieddine Meftah	mahieddinemeftah	77	4	2002					FALSE
Algeria	Tedj Bensaoula	tedjbensaoula	52	20	1986					FALSE
Tunisia	Radhi Jaïdi	radhijaidi	105	7	2009					FALSE
Tunisia	Chokri El Ouaer	chokrielouaer	97	0	2002					FALSE
Tunisia	Khaled Badra	khaledbadra	96	10	2006					FALSE
Tunisia	Khaled Ben Yahia	khaledbenyahia	95	5	1993					FALSE
Tunisia	Kaies Ghodhbane	kaiesghodhbane	95	6	2006					FALSE
Tunisia	Riadh Bouazizi	riadhbouazizi	92	3	2006					FALSE
Tunisia	Tarak Dhiab	tarakdhiab	89	12	1990					FALSE
Tunisia	Sadok Sassi	sadoksassi	87	0	1978					FALSE
Tunisia	Mohamed Ali Mahjoubi	mohamedalimahjoubi	86	17	1995					FALSE
Tunisia	Issam Jemâa	issamjemaa	84	36	2014					FALSE
Tunisia	Francileudo Santos	francileudosantos	41	22	2008					FALSE
Tunisia	Adel Sellimi	adelsellimi	80	20	2002					FALSE
Tunisia	Faouzi Rouissi	faouzirouissi	42	18	2001					FALSE
Tunisia	Mohamed Salah Jedidi	mohamedsalahjedidi	32	15	1965					FALSE
Tunisia	Hassen Gabsi	hassengabsi	50	14	2002					FALSE
Tunisia	Zied Jaziri	ziedjaziri	63	14	2007					FALSE
Morocco	Noureddine Naybet	noureddinenaybet	115	4	2006					FALSE
Morocco	Ahmed Faras	ahmedfaras	94	36	1979					FALSE
Morocco	Youssef Safri	youssefsafri	79	8	2009					FALSE
Morocco	Houssine Kharja	houssinekharja	78	12	2015					FALSE
Morocco	Ezzaki Badou	ezzakibadou	78	0	1992					FALSE
Morocco	Abdelmajid Dolmy	abdelmajiddolmy	76	2	1988					FALSE
Morocco	Youssef Chippo	youssefchippo	73	9	2006					FALSE
Morocco	Mohamed Hazzaz	mohamedhazzaz	73	0	1979					FALSE
Morocco	Abdelkrim El Hadrioui	abdelkrimelhadrioui	72	4	2001					FALSE
Morocco	Salaheddine Bassir	salaheddinebassir	59	27	2002					FALSE
Morocco	Abdeljalil Hadda	abdeljalilhadda	48	19	2002					FALSE
Morocco	Hassan Amcharrat	hassanamcharrat	39	18	1979					FALSE
Morocco	Marouane Chamakh	marouanechamakh	65	18	2014					FALSE
Morocco	Abdeslam Laghrissi	abdeslamlaghrissi	35	17	1995					FALSE
Morocco	Youssouf Hadji	youssoufhadji	64	16	2012					FALSE
Senegal	Henri Camara	henricamara	99	29	2008					FALSE
Senegal	Roger Mendy	rogermendy	87	3	1995					FALSE
Senegal	Tony Sylva	tonysylva	83	0	2008					FALSE
Senegal	Jules Bocandé	julesbocande	73	20	1993					FALSE
Senegal	Lamine Diatta	laminediatta	71	4	2008					FALSE
Senegal	El Hadji Diouf	elhadjidiouf	70	24	2008					FALSE
Senegal	Mamadou Niang	mamadouniang	54	20	2012					FALSE
Senegal	Moussa Sow	moussasow	50	18	2018					FALSE
Senegal	Papiss Cissé	papisscisse	36	17	2015					FALSE
Senegal	Mamadou Diallo	mamadoudiallo	35	15	1999					FALSE
Senegal	Moussa Konaté	moussakonate	34	12	2019					FALSE
Senegal	Souleymane Sané	souleymanesane	23	11	1997					FALSE
Senegal	Papa Bouba Diop	papaboubadiop	63	11	2008					FALSE